Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
001-003-00070,Funda Tisana Manzana,uni,"  3.000,00 ",  -   ,"  1.000,00 ","  2.000,00 ",  -   ,"  2.000,00 ",  -   ,  -   ,"  2.000,00 ",  -   ,SIN DIFERENCIA
001-003-00071,Funda Tisana Pina,uni,"  2.500,00 ",  -   ,"  1.000,00 ","  1.500,00 ",  -   ,"  1.500,00 ",  -   ,  -   ,"  1.500,00 ",  -   ,SIN DIFERENCIA
001-003-00073,Rollos Para Sachets Nuevos Amarillos Tippytea,uni,"  84.995,00 ","  100.000,00 ","  12.015,00 ","  172.980,00 ",  -   ,"  135.047,00 ",  -   ,  -   ,"  135.047,00 ","  37.933,00 ",FALTANTE
001-003-00074,Rollos  Zebra 64x102 (1 Fila),uni,"  1.000,00 ","  2.000,00 ",  -   ,"  3.000,00 ",  -   ,"  1.000,00 ",  -   ,  -   ,"  1.000,00 ","  2.000,00 ",FALTANTE
001-003-00075,Rollos Zebra 25x40 (3 Filas),uni,"  12.000,00 ",  -   ,  -   ,"  12.000,00 ",  -   ,"  12.000,00 ",  -   ,  -   ,"  12.000,00 ",  -   ,SIN DIFERENCIA
001-003-00076,Rollos Zebra 15x32 (2 Filas),uni,"  10.000,00 ","  5.000,00 ",  -   ,"  15.000,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  15.000,00 ",FALTANTE
001-003-00077,Rollos Impresora 60 X 15,uni,"  10.580,00 ",  -   ,  -   ,"  10.580,00 ",  -   ,"  8.492,00 ",  -   ,  -   ,"  8.492,00 ","  2.088,00 ",FALTANTE
001-003-00078,Rollos Impresora 3x1,uni,"  3.478,00 ",  -   ,  -   ,"  3.478,00 ",  -   ,"  3.918,00 ",  -   ,  -   ,"  3.918,00 ","  -440,00 ",SOBRANTE
001-003-00079,Rollos Impresora 3x 2,uni,"  3.561,00 ",  -   ,  -   ,"  3.561,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  3.561,00 ",FALTANTE
001-003-00080,Rollos Impresora 4 X 3,uni,"  1.216,00 ",  -   ,  -   ,"  1.216,00 ",  -   ,"  435,00 ",  -   ,  -   ,"  435,00 ","  781,00 ",FALTANTE
001-003-00081,Rollos Impresora 3x 5,uni,"  936,00 ",  -   ,  -   ,"  936,00 ",  -   ,"  1.236,00 ",  -   ,  -   ,"  1.236,00 ","  -300,00 ",SOBRANTE
001-003-00082,Rollos Impresora 4x 6,uni,"  671,00 ",  -   ,  -   ,"  671,00 ",  -   ,"  450,00 ",  -   ,  -   ,"  450,00 ","  221,00 ",FALTANTE
001-003-00083,Rollos Impresora 2x 2,uni,"  2.380,00 ",  -   ,  -   ,"  2.380,00 ",  -   ,"  1.431,00 ",  -   ,  -   ,"  1.431,00 ","  949,00 ",FALTANTE
001-003-00084,Rollos Tippytea,uni,"  200.000,00 ",  -   ,"  20.000,00 ","  180.000,00 ",  -   ,"  186.000,00 ",  -   ,  -   ,"  186.000,00 ","  -6.000,00 ",SOBRANTE
001-003-00085,Rollos Pads 20cm,uni,"  21,00 ",  -   ,  -   ,"  21,00 ",  -   ,"  20,00 ",  -   ,  -   ,"  20,00 ","  1,00 ",FALTANTE
001-003-00086,Rollos Pads 12cm,uni,"  1,00 ",  -   ,  -   ,"  1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  1,00 ",FALTANTE
001-003-00088,Rollo De Nylon Sin Tag,uni,"  18.000,00 ",  -   ,  -   ,"  18.000,00 ",  -   ,"  15.000,00 ",  -   ,  -   ,"  15.000,00 ","  3.000,00 ",FALTANTE
001-003-00090,Rollo Blanco Maquina Nueva,uni,"  16,00 ",  -   ,  -   ,"  16,00 ",  -   ,"  14,00 ",  -   ,  -   ,"  14,00 ","  2,00 ",FALTANTE
001-003-00091,Rollo Hilo De Algodon,uni,"  47,00 ",  -   ,  -   ,"  47,00 ",  -   ,  -   ,"  47,00 ",  -   ,"  47,00 ",  -   ,SIN DIFERENCIA
001-003-00092,Rollo Fiorana Kraft,uni,"  11,00 ",  -   ,  -   ,"  11,00 ",  -   ,  -   ,"  11,00 ",  -   ,"  11,00 ",  -   ,SIN DIFERENCIA
001-003-00093,Rollo Fiorana Rojo,uni,"  28,00 ",  -   ,  -   ,"  28,00 ",  -   ,  -   ,"  28,00 ",  -   ,"  28,00 ",  -   ,SIN DIFERENCIA
001-003-00094,Rollo Generico Fiorana,uni,"  29,00 ",  -   ,  -   ,"  29,00 ",  -   ,  -   ,"  29,00 ",  -   ,"  29,00 ",  -   ,SIN DIFERENCIA
001-003-00095,Rollo Sweet And Coffe,uni,  -   ,"  6.000,00 ","  1.239,00 ","  4.761,00 ",  -   ,"  30.919,00 ",  -   ,  -   ,"  30.919,00 ","  -26.158,00 ",SOBRANTE
001-003-00096,Sobres Plasticos Tizanas,uni,"  3.000,00 ",  -   ,  -   ,"  3.000,00 ",  -   ,"  3.000,00 ",  -   ,  -   ,"  3.000,00 ",  -   ,SIN DIFERENCIA
001-003-00097,Tea Collection Tapa Transparente,uni,"  3.174,00 ",  -   ,"  156,00 ","  3.018,00 ",  -   ,  -   ,"  3.204,00 ",  -   ,"  3.204,00 ","  -186,00 ",SOBRANTE
001-003-00098,Tea Collection Base Azul,uni,"  4.121,00 ",  -   ,"  157,00 ","  3.964,00 ",  -   ,  -   ,"  3.751,00 ",  -   ,"  3.751,00 ","  213,00 ",FALTANTE
001-003-00101,Caja Aromatica Vacia,uni,"  1.800,00 ",  -   ,"  111,00 ","  1.689,00 ",  -   ,"  1.728,00 ",  -   ,  -   ,"  1.728,00 ","  -39,00 ",SOBRANTE
001-003-00102,Caja Aromatica Flores De Manzanilla,uni,"  646,00 ",  -   ,"  498,00 ","  148,00 ",  -   ,"  739,00 ",  -   ,"  25,00 ","  764,00 ","  -616,00 ",SOBRANTE
001-003-00103,Caja Aromatica Hierbabuena,uni,"  1.198,00 ",  -   ,"  744,00 ","  454,00 ",  -   ,"  1.189,00 ",  -   ,  -   ,"  1.189,00 ","  -735,00 ",SOBRANTE
001-003-00104,Doypac Vacio,uni,"  107,00 ",  -   ,"  40,00 ","  67,00 ",  -   ,"  72,00 ",  -   ,  -   ,"  72,00 ","  -5,00 ",SOBRANTE
